Value,Count_R,Count_G,Count_B
168,46,26,60
169,49,33,54
170,50,18,65
171,57,16,50
172,46,18,52
173,42,10,38
174,44,15,26
175,32,8,40
176,33,7,27
177,37,17,37
178,22,10,28
179,23,13,33
180,34,7,28
181,15,14,20
182,18,14,24
183,13,13,11
184,13,11,15
185,6,11,13
186,5,11,6
187,5,11,6
188,1,3,9
189,4,9,5
190,3,12,2
191,6,9,6
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,7251,20029,6790
198,4640,19518,4408
199,5623,18724,5409
200,6711,18383,6248
201,8286,26084,7866
202,7653,30787,8390
203,9159,26396,9363
204,10244,18327,10304
205,10397,12282,10510
206,9077,9624,8963
207,5827,7953,5760
208,4507,7236,4434
209,4832,6629,4931
210,4126,6852,4131
211,3138,3858,3215
212,2669,2714,2662
213,2349,1619,2509
214,2251,1017,2191
215,2196,928,2070
216,2395,813,2248
217,1845,564,2105
218,980,298,1084
219,818,230,884
220,687,165,729
221,559,162,562
222,443,145,500
223,316,122,337
224,267,121,295
225,220,112,244
226,130,87,148
227,103,73,103
228,81,70,82
229,78,56,65
230,61,48,67
231,53,43,62
232,55,26,53
233,45,31,54
234,53,20,45
235,50,20,54
236,42,17,31
237,32,15,41
238,41,13,49
239,38,8,42
240,35,15,36
241,31,8,30
242,17,5,29
243,27,8,33
244,20,15,23
245,13,9,19
246,16,11,20
247,9,15,15
248,8,7,11
249,9,18,11
250,9,8,11
251,4,11,5
252,4,5,3
253,5,6,6
254,7,8,6
255,3,7,7
256,0,0,0
257,0,0,0
258,0,0,0
259,0,0,0
260,1,26,0
261,8328,18328,7993
262,4714,20553,4320
263,5705,17865,5535
264,6708,18600,6521
265,8375,26974,8275
266,7744,31835,8637
267,9162,26217,9436
268,10139,17485,10289
269,10541,12438,10816
270,9109,9954,8926
271,5916,8079,5699
272,4476,7276,4523
273,4826,6452,4721
274,4203,6812,4204
275,3187,3774,3261
276,2856,2726,2683
277,2411,1653,2422
278,2239,1006,2166
279,2136,868,2063
280,2431,914,2314
281,1907,569,2132
282,990,325,1109
283,818,222,843
284,625,174,685
285,542,152,615
286,446,147,540
287,336,134,378
288,275,125,306
